Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_SPDT_PCM12,1,SW_SPDT,C221841
"C1, C2, C3, C4, C9",402,5,100n,C77020
"C10, C11",402,2,10p,C76946
"C12, C13",805,2,22u,C602037
C5,603,1,10u,C19702
C6,402,1,10n,C15195
"C7, C8",402,2,1u,C14445
FB1,603,1,120R,C14709
"J2, J3, J4, J5",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,C2691448
ON,603,1,RED,C965799
R1,402,1,10k,C60490
"R2, R3, R4, R5",402,4,1k5,C114759
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
USB,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,C505111
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C127500
